default,high_debt_burden,intended_field_group,STU_ID,X1SEX,X1RACE,X1HISPANIC,X1FAMINCOME,X1POVERTY130,X1SES,X1SESQ5,X1PAREDU,X1STUEDEXPCT,X1PAREDEXPCT,X1CONTROL,X1LOCALE,X1FREELUNCH,X1SCHBLACK,X1SCHHISP,X1SCHWHITE,S3FIELD2,S3FIELD_STEM,S3PROGLEVEL,X3PROGLEVEL,S3CLGSEL,S3CLGLVL,S3CLGCNTRL,S3CLGSTAFFORD,S3CLGPELL,S3APPFAFSA,S3NODEBT,S3CANAFFORD,S3WHERELIVE,S3FOCUS,S3CLGFT,S3WORKFT,S3COSTATTEND,S3JOBPLC,S3GRADSCHPLC,S3OFFERSFIELD
0,0.0,Education,10002,Female,"White, non-Hispanic",No,"Family income > $35,000 and <= $55,000",At or above 130% poverty threshold,-0.3699,Second quintile,Associate's degree,Don't know,Complete a Bachelor's degree,Public,Rural,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Education,No,Bachelor's degree program,Bachelor's degree program,"Moderately selective, 4-year institution",4 or more years,Private not-for-profit,Yes,Yes,Yes,Item legitimate skip/NA,Item legitimate skip/NA,With parent(s)/relative(s)/guardian(s),Taking classes from postsecondary institution,Full-time,No,Very important,Very important,Very important,Very important
0,0.0,Health,10007,Female,"White, non-Hispanic",No,"Family income > $55,000 and <= $75,000",At or above 130% poverty threshold,-0.43,Second quintile,High school diploma or GED,Complete a Master's degree,Don't know,Public,Rural,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Health Professions and Related Clinical Sciences,No,Bachelor's degree program,University transfer Associate's degree program,"Selectivity not classified, 2-year institution",At least 2 but less than 4 years,Public,Don't know,Don't know,Yes,Item legitimate skip/NA,Item legitimate skip/NA,With parent(s)/relative(s)/guardian(s),Equally focused on more than one of these,Full-time,Don't know,Very important,Somewhat important,Somewhat important,Very important
0,1.0,Undecided,10018,Male,"White, non-Hispanic",No,"Family income > $55,000 and <= $75,000",At or above 130% poverty threshold,1.3989,Fifth quintile (highest),Ph.D/M.D/Law/other high lvl prof degree,Complete a Bachelor's degree,Start a Master's degree,Catholic or other private,Town,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Uncodeable,Missing,Bachelor's degree program,Bachelor's degree program,"Moderately selective, 4-year institution",4 or more years,Private not-for-profit,Yes,No,Yes,Item legitimate skip/NA,Item legitimate skip/NA,On campus or in college-owned housing,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Very important,Very important,Not at all important,Very important
0,0.0,Undecided,10019,Male,"Hispanic, race specified",Yes,Unit non-response,Unit non-response,-0.0106,Third quintile,Unit non-response,Complete a Master's degree,Unit non-response,Public,City,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Item not administered: abbreviated interview,Item not administered: abbreviated interview,Bachelor's degree program,Bachelor's degree program,"Moderately selective, 4-year institution",4 or more years,Private not-for-profit,Item not administered: abbreviated interview,Item not administered: abbreviated interview,Yes,Item legitimate skip/NA,Item legitimate skip/NA,Item not administered: abbreviated interview,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Item not administered: abbreviated interview,Item not administered: abbreviated interview,Item not administered: abbreviated interview,Item not administered: abbreviated interview
0,0.0,Business,10020,Male,"White, non-Hispanic",No,"Family income > $15,000 and <= $35,000",At or above 130% poverty threshold,-0.2746,Third quintile,Associate's degree,Complete a Master's degree,Complete a Master's degree,Public,City,Data suppressed,Data suppressed,Data suppressed,Data suppressed,"Business, Management, Marketing, and Related Support Services",No,Bachelor's degree program,Bachelor's degree program,"Moderately selective, 4-year institution",4 or more years,Public,Yes,No,Yes,Item legitimate skip/NA,Item legitimate skip/NA,On campus or in college-owned housing,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Very important,Very important,Somewhat important,Not at all important
0,1.0,STEM,10026,Female,"Asian, non-Hispanic",No,"Family income > $55,000 and <= $75,000",At or above 130% poverty threshold,1.1142,Fifth quintile (highest),Ph.D/M.D/Law/other high lvl prof degree,Start a Master's degree,Complete Ph.D/M.D/Law/other prof degree,Public,Town,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Engineering,Yes,Bachelor's degree program,Bachelor's degree program,"Highly selective, 4-year institution",4 or more years,Private not-for-profit,Yes,Yes,Yes,Item legitimate skip/NA,Item legitimate skip/NA,On campus or in college-owned housing,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Very important,Don't know,Don't know,Very important
0,1.0,Undecided,10027,Female,"White, non-Hispanic",No,"Family income > $75,000 and <= $95,000",At or above 130% poverty threshold,0.0887,Fourth quintile,Bachelor's degree,Don't know,Complete a Bachelor's degree,Catholic or other private,City,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response,Unit non-response
0,1.0,Health,10036,Female,"White, non-Hispanic",No,"Family income > $75,000 and <= $95,000",At or above 130% poverty threshold,0.1493,Fourth quintile,Associate's degree,Complete a Master's degree,Complete a Bachelor's degree,Catholic or other private,City,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Health Professions and Related Clinical Sciences,No,Bachelor's degree program,Bachelor's degree program,"Moderately selective, 4-year institution",4 or more years,Public,Yes,No,Yes,Item legitimate skip/NA,Item legitimate skip/NA,On campus or in college-owned housing,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Very important,Very important,Very important,Very important
0,0.0,Humanities & arts,10043,Female,"White, non-Hispanic",No,Unit non-response,Unit non-response,-0.3642,Second quintile,Unit non-response,Complete a Bachelor's degree,Unit non-response,Public,Suburb,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Visual and Performing Arts,No,Bachelor's degree program,University transfer Associate's degree program,"Selectivity not classified, 4-year institution",4 or more years,Private for-profit,Don't know,Don't know,Yes,Item legitimate skip/NA,Item legitimate skip/NA,Off campus,Equally focused on more than one of these,Full-time,Don't know,Very important,Very important,Very important,Very important
0,1.0,Social sciences,10049,Female,"Hispanic, race specified",Yes,"Family income > $95,000 and <= $115,000",At or above 130% poverty threshold,0.3972,Fourth quintile,Master's degree,Complete a Master's degree,Complete a Master's degree,Catholic or other private,City,Data suppressed,Data suppressed,Data suppressed,Data suppressed,Social Sciences,No,Bachelor's degree program,Bachelor's degree program,"Highly selective, 4-year institution",4 or more years,Private not-for-profit,Yes,Yes,Yes,Item legitimate skip/NA,Item legitimate skip/NA,On campus or in college-owned housing,Taking classes from postsecondary institution,Full-time,Item legitimate skip/NA,Somewhat important,Somewhat important,Very important,Very important
