feature,feature_readable,coef,odds_ratio
intended_field_group_Trades,Trades/vocational,-0.951926250173906,0.38599678051997877
institution_type_Public 2-year college,Public 2-year college,-0.5883429857936501,0.5552465743479132
"X1FAMINCOME_Family income > $215,000 and <= $235,000",Family income $215k-$235k,0.5315339329124723,1.7015403565767195
X1PAREDU_Not reported,Parent ed not reported,-0.5161673986018693,0.5968034802438071
intended_field_group_Social sciences,Social sciences,0.44639282000426916,1.5626651921314505
institution_type_Private non-profit 4-year college,Private non-profit 4-year,0.4315513828809154,1.5396442494380205
X1FAMINCOME_Not reported,Family income not reported,0.42278546311502874,1.526206833181477
S3CLGSEL_Not reported,College selectivity: Not reported,-0.4166090709395006,0.6592786007373774
institution_type_Public <2-year program,Public <2-year program,-0.4064165044624931,0.6660327040531268
"X1FAMINCOME_Family income > $235,000",Family income > $235k,-0.3969687018109554,0.6723550687993974
"S3CLGSEL_Selectivity not classified, 2-year institution","College selectivity: Selectivity not classified, 2-year institution",-0.34541420975188186,0.7079270624371082
"S3CLGSEL_Moderately selective, 4-year institution","College selectivity: Moderately selective, 4-year institution",0.33370672045336713,1.3961336260889912
X1PAREDU_Master's degree,Parent ed MA,0.3034341659212014,1.3545024155879106
institution_type_Private for-profit college,Private for-profit college,0.29694734457529526,1.345744436837598
intended_field_group_Humanities/other,Humanities/other,0.2952380741466993,1.3434461604147816
"S3CLGSEL_Highly selective, 4-year institution","College selectivity: Highly selective, 4-year institution",0.2905292083524953,1.3371349237885863
S3CLGBORROW,Total borrowed ($),0.2602565086495473,1.2972628031213598
"S3CLGSEL_Selectivity not classified, less-than-2-year institution","College selectivity: Selectivity not classified, less-than-2-year institution",-0.2392859355419971,0.7871897646576318
"X1FAMINCOME_Family income > $115,000 and <= $135,000",Family income $115k-$135k,-0.23205540194351007,0.7929021937672559
X1SEX_Not reported,Sex: Not reported,-0.2153093052870315,0.8062920112225058
"X1FAMINCOME_Family income less than or equal to $15,000",Family income ≤ $15k,-0.20497881801134377,0.8146645724443875
"X1FAMINCOME_Family income > $195,000 and <= $215,000",Family income $195k-$215k,0.17287481037769223,1.1887172807011908
institution_type_Private <2-year program,Private <2-year program,-0.1701108195859534,0.8435713271910493
X1SEX_Male,Sex: Male,-0.1699717001600364,0.843688692513517
X1PAREDU_Less than high school,Parent ed < HS,-0.16733545616360015,0.8459157960683813
"X1FAMINCOME_Family income > $155,000 and <=$175,000",Family income $155k-$175k,-0.15530653395683156,0.8561526973821562
"X1FAMINCOME_Family income > $55,000 and <= $75,000",Family income $55k-$75k,-0.14181643744724312,0.8677805338768158
"X1FAMINCOME_Family income > $135,000 and <= $155,000",Family income $135k-$155k,-0.12208165068224479,0.8850760984849393
intended_field_group_STEM,STEM,-0.10005746279206998,0.9047854250453954
"S3CLGSEL_Inclusive, 4-year institution","College selectivity: Inclusive, 4-year institution",0.09810576597837156,1.1030794472159144
S3CLGCOST,College cost ($/yr),-0.09727243734213604,0.9073087876644225
intended_field_group_Business,Business,-0.08548538652169706,0.9180665591018732
institution_type_Other/unknown,Other/unknown institution,0.08460716263434646,1.0882894619490355
"X1FAMINCOME_Family income > $75,000 and <= $95,000",Family income $75k-$95k,-0.08453609579317198,0.9189384849646881
"S3CLGSEL_Selectivity not classified, 4-year institution","College selectivity: Selectivity not classified, 4-year institution",-0.08160304705926784,0.9216377329023376
intended_field_group_Undecided,Undecided,-0.08090331940212514,0.9222828539921281
X1PAREDU_Bachelor's degree,Parent ed BA/BS,0.07989349168403091,1.0831716947378671
intended_field_group_Health,Health fields,0.0631130811704213,1.0651472805225086
"X1FAMINCOME_Family income > $35,000 and <= $55,000",Family income $35k-$55k,-0.06006940358849522,0.941699174014221
intended_field_group_Education,Education,0.05554206170586694,1.0571134801335895
"X1FAMINCOME_Family income > $95,000 and <= $115,000",Family income $95k-$115k,-0.036272081464781905,0.9643778684411983
"X1FAMINCOME_Family income > $15,000 and <= $35,000",Family income $15k-$35k,-0.0321524983880159,0.9683588976477528
X1PAREDU_Associate's degree,Parent ed AA,-0.02645414916331926,0.9738926966068204
X1SEX_Female,Sex: Female,0.024710436938791533,1.0250182701199566
"X1FAMINCOME_Family income > $175,000 and <= $195,000",Family income $175k-$195k,-0.021527151827351515,0.9787029035361186
X1PAREDU_Ph.D/M.D/Law/other high lvl prof degree,Parent ed PhD/MD/JD+,-0.018900229531027823,0.9812772598514867
X1PAREDU_High school diploma or GED,Parent ed HS/GED,-0.015040992654164786,0.9850715580776875
institution_type_Public 4-year college,Public 4-year college,-0.008806148757232264,0.9912325118039536
intended_field_group_Liberal arts,Liberal arts,-0.002484186646983363,0.9975188963911893
