Outcome,Model,AUC,Accuracy,Precision,Recall,F1
Default,Logistic L2 (full features),0.8292986831122425,0.8588200326943082,0.101956745623069,0.559322033898305,0.17247386759581881
Default,Logistic L1 (full features),0.8292038313224753,0.86327834745133,0.10436634717784878,0.5536723163841808,0.17562724014336917
Default,LDA (full features),0.8118976911349792,0.9649279239114281,0.08450704225352113,0.03389830508474576,0.04838709677419355
Default,KNN (full features),0.6820399860654098,0.9736959429335711,0.0,0.0,0.0
Default,SVM (RBF) (full features),0.8314518187399544,0.9731015009659681,0.0,0.0,0.0
Default,Random Forest (full features),0.8482673164876555,0.9736959429335711,0.0,0.0,0.0
Default,Gradient Boosting (full features),0.8943592502914537,0.974290384901174,0.625,0.05649717514124294,0.10362694300518134
Default,Logistic (app features),0.681921421328201,0.6109377322038936,0.04373831775700934,0.6610169491525424,0.0820476858345021
High debt burden,Logistic L2 (full features),0.9141629814044397,0.8528195488721805,0.8171275646743978,0.8308390022675737,0.8239262424106139
High debt burden,Logistic L1 (full features),0.916109964585085,0.8580827067669173,0.8251121076233184,0.8344671201814059,0.8297632468996617
High debt burden,LDA (full features),0.913517723836458,0.8518796992481203,0.8114285714285714,0.83718820861678,0.8241071428571428
High debt burden,KNN (full features),0.8831929475910214,0.8163533834586466,0.7658008658008658,0.8022675736961451,0.7836101882613511
High debt burden,SVM (RBF) (full features),0.9155412876761192,0.8575187969924812,0.8240035826242723,0.8344671201814059,0.829202343397927
High debt burden,Random Forest (full features),0.9049456401073002,0.8612781954887218,0.823555359505955,0.8467120181405896,0.8349731663685152
High debt burden,Gradient Boosting (full features),0.9189283803409003,0.8633458646616541,0.8244073748902546,0.8517006802721089,0.8378318090564354
High debt burden,Logistic (app features),0.6716808799496257,0.6368421052631579,0.5818836232753449,0.4399092970521542,0.5010330578512396
