outcome,feature_set,model,precision,recall,threshold,average_precision
default,app,"Logistic (app, calibrated)",0.02630405706642889,1.0,0.0,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02689075630252101,0.9943502824858758,0.0001096768447958355,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02689486552567237,0.9943502824858758,0.00012156059321586453,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02689897600489072,0.9943502824858758,0.00020789917052136856,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.026903087740752063,0.9943502824858758,0.00026014682305234465,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.026907200733832747,0.9943502824858758,0.0005053021522255436,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02691131498470948,0.9943502824858758,0.0007185009322378563,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.026915430493959322,0.9943502824858758,0.0009174311926605505,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02692778457772338,0.9943502824858758,0.0009433962264150943,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027090510491700595,0.9774011299435028,0.0009900990099009901,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027107489815104982,0.9774011299435028,0.001058201058201058,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027154292889656255,0.9774011299435028,0.0012108744438805437,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027158555729984303,0.9774011299435028,0.0014184397163120566,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027167085427135678,0.9774011299435028,0.0016666666666666666,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027252678008821675,0.9774011299435028,0.001706871060024778,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0272569717976997,0.9774011299435028,0.0017391304347826088,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027390753641545282,0.9774011299435028,0.0017543859649122805,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027416798732171156,0.9774011299435028,0.0018779342723004694,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02742549143944198,0.9774011299435028,0.001942094685146468,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02742983986047249,0.9774011299435028,0.0020619041685229537,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02743418966064066,0.9774011299435028,0.0022205517305125466,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027438540840602696,0.9774011299435028,0.002247191011235955,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.0274472473425353,0.9774011299435028,0.002284359901042131,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027451602665820373,0.9774011299435028,0.002427938396690258,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027455959371528327,0.9774011299435028,0.0024615384615384616,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027469037789774532,0.9774011299435028,0.002561369119640158,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027473400031761155,0.9774011299435028,0.002584097859327217,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027539000318369946,0.9774011299435028,0.002684563758389261,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027543384811335773,0.9774011299435028,0.002797331492983667,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02785829307568438,0.9774011299435028,0.002797414480907803,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02786277983572234,0.9774011299435028,0.0027976267296956196,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027867268041237115,0.9774011299435028,0.0028028747415324183,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02787175769292734,0.9774011299435028,0.0028125870231133386,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027795838751625487,0.9661016949152542,0.0028169014084507044,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.027977748691099476,0.9661016949152542,0.00286803328220146,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028000654986081546,0.9661016949152542,0.0030419710660340195,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02800524074680642,0.9661016949152542,0.003061224489795918,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028129626583319627,0.9661016949152542,0.003378969654199012,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02816669411958491,0.9661016949152542,0.0033876731560896663,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028171334431630973,0.9661016949152542,0.003413442909536554,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028175976272862086,0.9661016949152542,0.0034661960629413435,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028180619644034278,0.9661016949152542,0.0034782608695652175,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028194558944765045,0.9661016949152542,0.0034812349114947865,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028199208443271766,0.9661016949152542,0.003493516399694889,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028080607862570203,0.96045197740113,0.0035714285714285713,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028141036252276114,0.96045197740113,0.0036279599848043553,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02843760455001673,0.96045197740113,0.0036585365853658534,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02844236238915844,0.96045197740113,0.0036745139529508045,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028447121820615796,0.96045197740113,0.003807000418351694,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02847571189279732,0.96045197740113,0.004128205128205128,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028566627457570156,0.96045197740113,0.004132231404958678,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028576231299378047,0.96045197740113,0.004137931034482759,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.02858584160080713,0.96045197740113,0.004303818337438684,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028590649175916583,0.96045197740113,0.0043447567706327815,0.053875242477803995
default,app,"Logistic (app, calibrated)",0.028605280974949222,0.9548022598870056,0.004352410045686789,0.053875242477803995
