outcome,feature_set,model,fpr,tpr,threshold,auc
high_debt_burden,full,Logistic L2,0.0,0.0,inf,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0,0.00045351473922902497,0.9999827166754839,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0,0.042630385487528344,0.9976856926772247,0.9141629814044397
high_debt_burden,full,Logistic L2,0.00032102728731942215,0.042630385487528344,0.9975527362994248,0.9141629814044397
high_debt_burden,full,Logistic L2,0.00032102728731942215,0.06167800453514739,0.9954170124303124,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0006420545746388443,0.06167800453514739,0.9952818935605167,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0006420545746388443,0.11428571428571428,0.9840743462343288,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0009630818619582664,0.11428571428571428,0.9840567339915923,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0009630818619582664,0.11564625850340136,0.9835874085216569,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0012841091492776886,0.11564625850340136,0.9834672018973094,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0012841091492776886,0.12789115646258503,0.9807930005277917,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0016051364365971107,0.12789115646258503,0.9807314643592175,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0016051364365971107,0.1346938775510204,0.9780828615479688,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0019261637239165329,0.1346938775510204,0.9779700710720328,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0019261637239165329,0.15691609977324264,0.9720072589893977,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0022471910112359553,0.15691609977324264,0.971924715183069,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0022471910112359553,0.16870748299319727,0.9688391043403839,0.9141629814044397
high_debt_burden,full,Logistic L2,0.002568218298555377,0.16870748299319727,0.9687515005157656,0.9141629814044397
high_debt_burden,full,Logistic L2,0.002568218298555377,0.17324263038548754,0.9666955799810486,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0028892455858747996,0.17324263038548754,0.9663651992590853,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0028892455858747996,0.1746031746031746,0.966053237144277,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0032102728731942215,0.1746031746031746,0.9658896016870946,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0032102728731942215,0.19138321995464852,0.9594469425040973,0.9141629814044397
high_debt_burden,full,Logistic L2,0.003531300160513644,0.19138321995464852,0.9592228051551944,0.9141629814044397
high_debt_burden,full,Logistic L2,0.003531300160513644,0.19410430839002268,0.958038140693203,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0038523274478330658,0.19410430839002268,0.9578497319899847,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0038523274478330658,0.20272108843537415,0.9541574246497714,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0044943820224719105,0.20272108843537415,0.9538584418173622,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0044943820224719105,0.20317460317460317,0.953797304436262,0.9141629814044397
high_debt_burden,full,Logistic L2,0.004815409309791332,0.20317460317460317,0.9537322359383568,0.9141629814044397
high_debt_burden,full,Logistic L2,0.004815409309791332,0.20498866213151928,0.9529928138646552,0.9141629814044397
high_debt_burden,full,Logistic L2,0.005136436597110754,0.20498866213151928,0.9529514067479983,0.9141629814044397
high_debt_burden,full,Logistic L2,0.005136436597110754,0.21496598639455783,0.9501013228968558,0.9141629814044397
high_debt_burden,full,Logistic L2,0.005778491171749599,0.21496598639455783,0.9499305103217204,0.9141629814044397
high_debt_burden,full,Logistic L2,0.005778491171749599,0.21587301587301588,0.9488131372437949,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006099518459069021,0.21587301587301588,0.9487280935643885,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006099518459069021,0.22585034013605443,0.9460658810236265,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006420545746388443,0.22585034013605443,0.9457610949441824,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006420545746388443,0.22630385487528346,0.9456400454690823,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006741573033707865,0.22630385487528346,0.9449642209668978,0.9141629814044397
high_debt_burden,full,Logistic L2,0.006741573033707865,0.236281179138322,0.9420296907622573,0.9141629814044397
high_debt_burden,full,Logistic L2,0.007062600321027288,0.236281179138322,0.9418354604211279,0.9141629814044397
high_debt_burden,full,Logistic L2,0.007062600321027288,0.2399092970521542,0.9401500523191862,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0077046548956661316,0.2399092970521542,0.9400357531237344,0.9141629814044397
high_debt_burden,full,Logistic L2,0.0077046548956661316,0.24308390022675738,0.9392157921088264,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008025682182985553,0.24308390022675738,0.9385992961316576,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008025682182985553,0.2471655328798186,0.9373265836870346,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008346709470304976,0.2471655328798186,0.936835482818712,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008346709470304976,0.24852607709750568,0.9361723364459149,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008667736757624398,0.24852607709750568,0.9361414869958979,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008667736757624398,0.25215419501133784,0.9349451622308234,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008988764044943821,0.25215419501133784,0.934521734299462,0.9141629814044397
high_debt_burden,full,Logistic L2,0.008988764044943821,0.25532879818594106,0.9338060154961465,0.9141629814044397
high_debt_burden,full,Logistic L2,0.009309791332263243,0.25532879818594106,0.9334107595616545,0.9141629814044397
high_debt_burden,full,Logistic L2,0.009309791332263243,0.25578231292517006,0.9332931470891178,0.9141629814044397
