outcome,feature_set,model,fpr,tpr,threshold,auc
high_debt_burden,app,"Logistic (app, calibrated)",0.0,0.0,inf,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0,0.0009070294784580499,0.9428571428571428,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0009630818619582664,0.0009070294784580499,0.8730458221024259,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0012841091492776886,0.0013605442176870747,0.8639285714285714,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0016051364365971107,0.0013605442176870747,0.8598516185060102,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0016051364365971107,0.0018140589569160999,0.856292697833605,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0016051364365971107,0.0036281179138321997,0.8130952380952381,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0016051364365971107,0.0045351473922902496,0.7952680443246481,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.002568218298555377,0.0045351473922902496,0.7819783487996532,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.002568218298555377,0.004988662131519274,0.7603414776016908,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0032102728731942215,0.004988662131519274,0.7364911330330159,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.003531300160513644,0.005442176870748299,0.732295918367347,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.003531300160513644,0.0058956916099773245,0.7253130572592489,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0038523274478330658,0.007709750566893424,0.7211939702505741,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.0038523274478330658,0.00816326530612245,0.7202728864609835,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.004173354735152488,0.00816326530612245,0.7175998287900966,0.6700771994190935
high_debt_burden,app,"Logistic (app, calibrated)",0.004173354735152488,0.008616780045351474,0.7160128828140924,0.6700771994190935
