outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
default,full,Logistic L2,0.01,0.046245919477693145,0.96045197740113,0.08824292758889177,0.47793134195274184,0.4648962148962149,170,3506,3046,7
default,full,Logistic L2,0.02,0.0520573566084788,0.943502824858757,0.09867060561299854,0.5465893892108783,0.5358669108669109,167,3041,3511,10
default,full,Logistic L2,0.03,0.055177111716621256,0.9152542372881356,0.10407966591712177,0.5855253380888691,0.5766178266178266,162,2774,3778,15
default,full,Logistic L2,0.04,0.056672760511883,0.8757062146892656,0.10645604395604397,0.6133155000743052,0.6062271062271062,155,2580,3972,22
default,full,Logistic L2,0.05,0.05912096460521198,0.8587570621468926,0.11062590975254731,0.6367959577946203,0.6307997557997558,152,2419,4133,25
default,full,Logistic L2,0.06,0.060851926977687626,0.847457627118644,0.11355034065102196,0.6519542279684946,0.6466727716727717,150,2315,4237,27
default,full,Logistic L2,0.07,0.06242091944327288,0.8361581920903954,0.11616954474097331,0.6653291722395601,0.6607142857142857,148,2223,4329,29
default,full,Logistic L2,0.08,0.06510186005314438,0.8305084745762712,0.12073921971252566,0.6818249368405409,0.6778083028083028,147,2111,4441,30
default,full,Logistic L2,0.09,0.06697247706422019,0.8248587570621468,0.12388629613915995,0.6931193342249963,0.6895604395604396,146,2034,4518,31
default,full,Logistic L2,0.1,0.06783681214421253,0.807909604519774,0.12516411378555797,0.7029276266904444,0.700091575091575,143,1965,4587,34
default,full,Logistic L2,0.11,0.06856023506366307,0.7909604519774012,0.12618296529968454,0.711844256204488,0.7097069597069597,140,1902,4650,37
default,full,Logistic L2,0.12,0.06955645161290322,0.7796610169491526,0.12771864877371586,0.7198692227671274,0.7182539682539683,138,1846,4706,39
default,full,Logistic L2,0.13,0.07150259067357513,0.7796610169491526,0.13099193165638348,0.7278941893297667,0.7264957264957265,138,1792,4760,39
default,full,Logistic L2,0.14,0.0720384204909285,0.7627118644067796,0.1316431009263774,0.7353247139248031,0.7345848595848596,135,1739,4813,42
default,full,Logistic L2,0.15,0.07346491228070176,0.7570621468926554,0.13393303348325838,0.742458017536038,0.7420634920634921,134,1690,4862,43
default,full,Logistic L2,0.16,0.07511210762331838,0.7570621468926554,0.13666496685364607,0.7484024372120671,0.7481684981684982,134,1650,4902,43
default,full,Logistic L2,0.17,0.07652474108170311,0.751412429378531,0.13890339425587467,0.7549412988556992,0.75503663003663,133,1605,4947,44
default,full,Logistic L2,0.18,0.07705882352941176,0.7401129943502824,0.1395844432605221,0.759994055580324,0.7605311355311355,131,1569,4983,46
default,full,Logistic L2,0.19,0.07816229116945107,0.7401129943502824,0.14139233675121424,0.7635607073859414,0.7641941391941391,131,1545,5007,46
default,full,Logistic L2,0.2,0.0782292298362644,0.7288135593220338,0.14129244249726178,0.7669787486996582,0.7680097680097681,129,1520,5032,48
default,full,Logistic L2,0.21,0.07992565055762081,0.7288135593220338,0.14405360134003348,0.7721801159161836,0.7733516483516484,129,1485,5067,48
default,full,Logistic L2,0.22,0.07969639468690702,0.711864406779661,0.14334470989761092,0.7761925991975034,0.7779304029304029,126,1455,5097,51
default,full,Logistic L2,0.23,0.08097686375321336,0.711864406779661,0.1454125793421812,0.7799078614950216,0.7817460317460317,126,1430,5122,51
default,full,Logistic L2,0.24,0.08191349934469201,0.7062146892655368,0.14679976512037582,0.7840689552682419,0.7861721611721612,125,1401,5151,52
default,full,Logistic L2,0.25,0.08305647840531562,0.7062146892655368,0.14863258026159334,0.7871897755981573,0.7893772893772893,125,1380,5172,52
default,full,Logistic L2,0.26,0.08327691266079891,0.6949152542372882,0.1487303506650544,0.7907564274037747,0.7933455433455433,123,1354,5198,54
default,full,Logistic L2,0.27,0.08476912474155755,0.6949152542372882,0.15110565110565113,0.7946203001931936,0.7973137973137974,123,1328,5224,54
default,full,Logistic L2,0.28,0.08498583569405099,0.6779661016949152,0.1510383889238515,0.7995244464259177,0.8028083028083028,120,1292,5260,57
default,full,Logistic L2,0.29,0.08526011560693642,0.6666666666666666,0.15118513773222292,0.8030910982315351,0.8067765567765568,118,1266,5286,59
default,full,Logistic L2,0.3,0.08504398826979472,0.655367231638418,0.15055158987670342,0.8054688661019468,0.8095238095238095,116,1248,5304,61
default,full,Logistic L2,0.31,0.08650260999254288,0.655367231638418,0.152832674571805,0.8088869074156635,0.813034188034188,116,1225,5327,61
default,full,Logistic L2,0.32,0.08758568164508758,0.6497175141242938,0.15436241610738252,0.8127507802050825,0.8171550671550671,115,1198,5354,62
default,full,Logistic L2,0.33,0.08773291925465838,0.6384180790960452,0.15426621160409554,0.8158716005349977,0.8206654456654456,113,1175,5377,64
default,full,Logistic L2,0.34,0.08867775138558986,0.632768361581921,0.15555555555555556,0.8192896418487146,0.8243284493284493,112,1151,5401,65
default,full,Logistic L2,0.35000000000000003,0.08821170809943865,0.6214689265536724,0.15449438202247193,0.8210729677515233,0.8264652014652014,110,1137,5415,67
default,full,Logistic L2,0.36,0.0886899918633035,0.615819209039548,0.15504978662873398,0.8234507356219349,0.8290598290598291,109,1120,5432,68
default,full,Logistic L2,0.37,0.09015715467328371,0.615819209039548,0.1572871572871573,0.8264229454599494,0.8321123321123322,109,1100,5452,68
default,full,Logistic L2,0.38,0.09128978224455611,0.615819209039548,0.15900802334062727,0.8286521028384604,0.8344017094017094,109,1085,5467,68
default,full,Logistic L2,0.39,0.09276595744680852,0.615819209039548,0.16124260355029588,0.8314757021845742,0.8373015873015873,109,1066,5486,68
default,full,Logistic L2,0.4,0.09334485738980121,0.6101694915254238,0.1619190404797601,0.8338534700549859,0.8398962148962149,108,1049,5503,69
default,full,Logistic L2,0.41000000000000003,0.09482001755926252,0.6101694915254238,0.16413373860182373,0.836528458909199,0.8426434676434676,108,1031,5521,69
default,full,Logistic L2,0.42,0.09545049063336307,0.6045197740112994,0.16486902927580893,0.8389062267796107,0.8452380952380952,107,1014,5538,70
default,full,Logistic L2,0.43,0.09636363636363636,0.5988700564971752,0.16601409553641347,0.8417298261257244,0.8482905982905983,106,994,5558,71
default,full,Logistic L2,0.44,0.09668508287292818,0.5932203389830508,0.166270783847981,0.8435131520285332,0.8502747252747253,105,981,5571,72
default,full,Logistic L2,0.45,0.0976303317535545,0.5819209039548022,0.1672077922077922,0.8475256353098529,0.8547008547008547,103,952,5600,74
default,full,Logistic L2,0.46,0.09751434034416825,0.576271186440678,0.1668029435813573,0.848565908753158,0.8559218559218559,102,944,5608,75
default,full,Logistic L2,0.47000000000000003,0.0986328125,0.5706214689265536,0.16819317235636969,0.8515381185911726,0.8591269841269841,101,923,5629,76
default,full,Logistic L2,0.48,0.09850746268656717,0.559322033898305,0.16751269035532995,0.8537672759696835,0.8617216117216118,99,906,5646,78
default,full,Logistic L2,0.49,0.1,0.559322033898305,0.16966580976863754,0.8559964333481944,0.864010989010989,99,891,5661,78
default,full,Logistic L2,0.5,0.101956745623069,0.559322033898305,0.17247386759581881,0.8588200326943082,0.8669108669108669,99,872,5680,78
default,full,Logistic L2,0.51,0.10240334378265413,0.5536723163841808,0.17283950617283952,0.860603358597117,0.8688949938949939,98,859,5693,79
default,full,Logistic L2,0.52,0.10359408033826638,0.5536723163841808,0.17453250222617986,0.862238074008025,0.8705738705738706,98,848,5704,79
default,full,Logistic L2,0.53,0.10129310344827586,0.5310734463276836,0.17013574660633485,0.8637241789270322,0.8727106227106227,94,834,5718,83
default,full,Logistic L2,0.54,0.10152838427947598,0.5254237288135594,0.17017383348581885,0.8652102838460395,0.8743894993894994,93,823,5729,84
default,full,Logistic L2,0.55,0.10210876803551609,0.519774011299435,0.17068645640074212,0.867142220240749,0.8765262515262515,92,809,5743,85
default,full,Logistic L2,0.56,0.10337078651685393,0.519774011299435,0.1724461105904405,0.868776935651657,0.8782051282051282,92,798,5754,85
default,full,Logistic L2,0.5700000000000001,0.10526315789473684,0.519774011299435,0.17507136060894385,0.8711547035220687,0.8806471306471306,92,782,5770,85
default,full,Logistic L2,0.58,0.107981220657277,0.519774011299435,0.17881438289601556,0.8744241343438847,0.884004884004884,92,760,5792,85
default,full,Logistic L2,0.59,0.10748792270531402,0.5028248587570622,0.17711442786069653,0.8770991231980978,0.8872100122100122,89,739,5813,88
default,full,Logistic L2,0.6,0.10506798516687268,0.480225988700565,0.1724137931034483,0.8787338386090058,0.8894993894993894,85,724,5828,92
default,full,Logistic L2,0.61,0.10632911392405063,0.4745762711864407,0.1737331954498449,0.8812602169713182,0.8922466422466423,84,706,5846,93
default,full,Logistic L2,0.62,0.10783055198973042,0.4745762711864407,0.17573221757322174,0.8828949323822262,0.893925518925519,84,695,5857,93
default,full,Logistic L2,0.63,0.1080368906455863,0.4632768361581921,0.1752136752136752,0.8852727002526378,0.8966727716727717,82,677,5875,95
default,full,Logistic L2,0.64,0.10575635876840696,0.4463276836158192,0.17099567099567098,0.8861643632040422,0.8980463980463981,79,668,5884,98
default,full,Logistic L2,0.65,0.10743801652892562,0.4406779661016949,0.17275747508305647,0.888987962550156,0.9010989010989011,78,648,5904,99
default,full,Logistic L2,0.66,0.10955056179775281,0.4406779661016949,0.17547806524184476,0.8910685094367662,0.9032356532356532,78,634,5918,99
default,full,Logistic L2,0.67,0.1111111111111111,0.4406779661016949,0.17747440273037543,0.8925546143557735,0.9047619047619048,78,624,5928,99
default,full,Logistic L2,0.68,0.1119186046511628,0.4350282485875706,0.17803468208092488,0.8943379402585823,0.9067460317460317,77,611,5941,100
default,full,Logistic L2,0.6900000000000001,0.1111111111111111,0.4180790960451977,0.17556346381969157,0.8967157081289939,0.9096459096459096,74,592,5960,103
default,full,Logistic L2,0.7000000000000001,0.11349693251533742,0.4180790960451977,0.17852834740651388,0.8987962550156041,0.9117826617826618,74,578,5974,103
default,full,Logistic L2,0.71,0.11616954474097331,0.4180790960451977,0.1818181818181818,0.901025412394115,0.914072039072039,74,563,5989,103
default,full,Logistic L2,0.72,0.11698717948717949,0.4124293785310734,0.1822721598002497,0.902660127805023,0.9159035409035409,73,551,6001,104
default,full,Logistic L2,0.73,0.11620294599018004,0.4011299435028249,0.18020304568527917,0.9039976222321295,0.9175824175824175,71,540,6012,106
default,full,Logistic L2,0.74,0.11764705882352941,0.3954802259887006,0.18134715025906734,0.9060781691187397,0.9198717948717948,70,525,6027,107
default,full,Logistic L2,0.75,0.11896551724137931,0.3898305084745763,0.18229854689564068,0.9080101055134493,0.9220085470085471,69,511,6041,108
default,full,Logistic L2,0.76,0.11900532859680284,0.3785310734463277,0.18108108108108106,0.9099420419081587,0.9242979242979243,67,496,6056,110
default,full,Logistic L2,0.77,0.11721611721611722,0.3615819209039548,0.17704011065006917,0.9115767573190667,0.9264346764346765,64,482,6070,113
default,full,Logistic L2,0.78,0.12052730696798493,0.3615819209039548,0.1807909604519774,0.9138059146975777,0.9287240537240538,64,467,6085,113
default,full,Logistic L2,0.79,0.12115384615384615,0.3559322033898305,0.1807747489239598,0.9151434091246842,0.9302503052503053,63,457,6095,114
default,full,Logistic L2,0.8,0.12151394422310757,0.3446327683615819,0.17967599410898383,0.9172239560112944,0.9326923076923077,61,441,6111,116
default,full,Logistic L2,0.81,0.12219959266802444,0.3389830508474576,0.17964071856287425,0.918561450438401,0.9342185592185592,60,431,6121,117
default,full,Logistic L2,0.8200000000000001,0.12473572938689217,0.3333333333333333,0.1815384615384615,0.9209392183088126,0.9368131868131868,59,414,6138,118
default,full,Logistic L2,0.8300000000000001,0.13082039911308205,0.3333333333333333,0.18789808917197454,0.9242086491306286,0.9401709401709402,59,392,6160,118
default,full,Logistic L2,0.84,0.1324200913242009,0.327683615819209,0.18861788617886177,0.9258433645415366,0.942002442002442,58,380,6172,119
default,full,Logistic L2,0.85,0.13559322033898305,0.3163841807909605,0.18983050847457628,0.9289641848714519,0.9455128205128205,56,357,6195,121
default,full,Logistic L2,0.86,0.1371571072319202,0.3107344632768362,0.1903114186851211,0.9304502897904592,0.9471916971916972,55,346,6206,122
default,full,Logistic L2,0.87,0.14095744680851063,0.2994350282485876,0.19168173598553345,0.9335711101203745,0.9507020757020757,53,323,6229,124
default,full,Logistic L2,0.88,0.14285714285714285,0.2824858757062147,0.18975332068311196,0.936543319958389,0.9542124542124543,50,300,6252,127
default,full,Logistic L2,0.89,0.14153846153846153,0.2598870056497175,0.1832669322709163,0.9390696983207014,0.9574175824175825,46,279,6273,131
