outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
default,app,"Logistic (app, calibrated)",0.01,0.031929480901077376,0.9209039548022598,0.06171904581597879,0.2634864021399911,0.24572649572649571,163,4942,1610,14
default,app,"Logistic (app, calibrated)",0.02,0.03788094559954429,0.751412429378531,0.07212581344902386,0.49145489671570813,0.48443223443223443,133,3378,3174,44
default,app,"Logistic (app, calibrated)",0.03,0.04623073719283632,0.6271186440677966,0.08611326609775019,0.6498736810818844,0.6504884004884005,111,2290,4262,66
default,app,"Logistic (app, calibrated)",0.04,0.05287817938420348,0.4463276836158192,0.0945541591861161,0.7751523257541982,0.784035409035409,79,1415,5137,98
default,app,"Logistic (app, calibrated)",0.05,0.0576036866359447,0.2824858757062147,0.09569377990430623,0.8595630851538119,0.8751526251526252,50,818,5734,127
default,app,"Logistic (app, calibrated)",0.06,0.07407407407407407,0.15819209039548024,0.1009009009009009,0.9258433645415366,0.9465811965811965,28,350,6202,149
default,app,"Logistic (app, calibrated)",0.07,0.08540925266903915,0.13559322033898305,0.10480349344978165,0.9390696983207014,0.9607753357753358,24,257,6295,153
default,app,"Logistic (app, calibrated)",0.08,0.0989010989010989,0.1016949152542373,0.10027855153203344,0.9519988111160648,0.974969474969475,18,164,6388,159
default,app,"Logistic (app, calibrated)",0.09,0.08870967741935484,0.062146892655367235,0.07308970099667773,0.9585376727596968,0.9827533577533577,11,113,6439,166
default,app,"Logistic (app, calibrated)",0.1,0.10588235294117647,0.05084745762711865,0.06870229007633588,0.9637390399762223,0.9884004884004884,9,76,6476,168
default,app,"Logistic (app, calibrated)",0.11,0.10526315789473684,0.03389830508474576,0.05128205128205128,0.9670084707980383,0.9922161172161172,6,51,6501,171
default,app,"Logistic (app, calibrated)",0.12,0.06976744186046512,0.01694915254237288,0.02727272727272727,0.9681973547332442,0.9938949938949939,3,40,6512,174
default,app,"Logistic (app, calibrated)",0.13,0.05555555555555555,0.005649717514124294,0.010256410256410255,0.9713181750631594,0.9974053724053724,1,17,6535,176
default,app,"Logistic (app, calibrated)",0.14,0.06666666666666667,0.005649717514124294,0.010416666666666666,0.9717640065388616,0.9978632478632479,1,14,6538,176
default,app,"Logistic (app, calibrated)",0.15,0.0,0.0,0.0,0.9729528904740675,0.9992368742368742,0,5,6547,177
default,app,"Logistic (app, calibrated)",0.16,0.0,0.0,0.0,0.9731015009659681,0.9993894993894994,0,4,6548,177
default,app,"Logistic (app, calibrated)",0.17,0.0,0.0,0.0,0.9731015009659681,0.9993894993894994,0,4,6548,177
default,app,"Logistic (app, calibrated)",0.18,0.0,0.0,0.0,0.9731015009659681,0.9993894993894994,0,4,6548,177
default,app,"Logistic (app, calibrated)",0.19,0.0,0.0,0.0,0.9732501114578689,0.9995421245421245,0,3,6549,177
default,app,"Logistic (app, calibrated)",0.2,0.0,0.0,0.0,0.9735473324416704,0.9998473748473748,0,1,6551,177
default,app,"Logistic (app, calibrated)",0.21,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.22,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.23,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.24,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.25,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.26,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.27,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.28,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.29,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.3,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.31,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.32,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.33,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.34,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.35000000000000003,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.36,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.37,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.38,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.39,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.4,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.41000000000000003,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.42,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.43,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.44,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.45,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.46,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.47000000000000003,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.48,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.49,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.5,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.51,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.52,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.53,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.54,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.55,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.56,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.5700000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.58,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.59,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.6,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.61,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.62,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.63,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.64,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.65,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.66,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.67,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.68,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.6900000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.7000000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.71,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.72,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.73,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.74,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.75,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.76,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.77,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.78,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.79,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.8,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.81,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.8200000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.8300000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.84,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.85,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.86,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.87,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.88,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.89,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.9,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.91,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.92,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.93,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
default,app,"Logistic (app, calibrated)",0.9400000000000001,0.0,0.0,0.0,0.9736959429335711,1.0,0,0,6552,177
