outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L2,0.01,0.44970292972751486,0.9954648526077098,0.6195314705052216,0.4932330827067669,0.1377207062600321,2195,2686,429,10
high_debt_burden,full,Logistic L2,0.02,0.4889937106918239,0.9873015873015873,0.6540483701366983,0.5671052631578948,0.2696629213483146,2177,2275,840,28
high_debt_burden,full,Logistic L2,0.03,0.5201632261161786,0.982766439909297,0.6802699733165908,0.6171052631578947,0.3582664526484751,2167,1999,1116,38
high_debt_burden,full,Logistic L2,0.04,0.5455923212932559,0.9795918367346939,0.7008436080467229,0.6533834586466165,0.42247191011235957,2160,1799,1316,45
high_debt_burden,full,Logistic L2,0.05,0.5621890547263682,0.9736961451247166,0.7128154050464808,0.674812030075188,0.46324237560192616,2147,1672,1443,58
high_debt_burden,full,Logistic L2,0.06,0.5753904146472806,0.9691609977324263,0.7220814326744381,0.6907894736842105,0.49373996789727126,2137,1577,1538,68
high_debt_burden,full,Logistic L2,0.07,0.5891130146449295,0.9668934240362812,0.7321428571428571,0.706766917293233,0.5226324237560193,2132,1487,1628,73
high_debt_burden,full,Logistic L2,0.08,0.6036879432624114,0.9650793650793651,0.7427574171029668,0.7229323308270676,0.5515248796147673,2128,1397,1718,77
high_debt_burden,full,Logistic L2,0.09,0.6158536585365854,0.9619047619047619,0.7509293680297398,0.7355263157894737,0.5752808988764045,2121,1323,1792,84
high_debt_burden,full,Logistic L2,0.1,0.6242245199409158,0.9582766439909297,0.7559928443649373,0.7436090225563909,0.5916532905296951,2113,1272,1843,92
high_debt_burden,full,Logistic L2,0.11,0.63354411321891,0.9541950113378684,0.7614911328266377,0.7522556390977444,0.6093097913322633,2104,1217,1898,101
high_debt_burden,full,Logistic L2,0.12,0.6386426169367166,0.9473922902494331,0.7629656683710738,0.7560150375939849,0.6205457463884431,2089,1182,1933,116
high_debt_burden,full,Logistic L2,0.13,0.6483550589695841,0.9473922902494331,0.7698544315459739,0.7652255639097745,0.6362760834670947,2089,1133,1982,116
high_debt_burden,full,Logistic L2,0.14,0.6569090336795719,0.9464852607709751,0.7755481233742103,0.7729323308270677,0.6500802568218299,2087,1090,2025,118
high_debt_burden,full,Logistic L2,0.15,0.6649616368286445,0.9433106575963719,0.7800487530470654,0.7795112781954887,0.6635634028892455,2080,1048,2067,125
high_debt_burden,full,Logistic L2,0.16,0.6706528765352294,0.9410430839002267,0.7831666352141913,0.7840225563909774,0.6728731942215088,2075,1019,2096,130
high_debt_burden,full,Logistic L2,0.17,0.6760471204188482,0.9369614512471656,0.7854020148260786,0.787781954887218,0.6821829855537721,2066,990,2125,139
