outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,app,"Logistic (app, calibrated)",0.01,0.4144736842105263,1.0,0.586046511627907,0.4144736842105263,0.0,2205,3115,0,0
high_debt_burden,app,"Logistic (app, calibrated)",0.02,0.41478555304740405,1.0,0.5863581970482649,0.41522556390977444,0.0012841091492776886,2205,3111,4,0
high_debt_burden,app,"Logistic (app, calibrated)",0.03,0.41530054644808745,0.999546485260771,0.5867944621938233,0.41654135338345866,0.0038523274478330658,2204,3103,12,1
high_debt_burden,app,"Logistic (app, calibrated)",0.04,0.4153788164342254,0.999546485260771,0.5868725868725869,0.41672932330827067,0.004173354735152488,2204,3102,13,1
high_debt_burden,app,"Logistic (app, calibrated)",0.05,0.4155354449472097,0.999546485260771,0.5870288986549473,0.41710526315789476,0.004815409309791332,2204,3100,15,1
high_debt_burden,app,"Logistic (app, calibrated)",0.06,0.415785498489426,0.998639455782313,0.5871217171043861,0.41785714285714287,0.006741573033707865,2202,3094,21,3
high_debt_burden,app,"Logistic (app, calibrated)",0.07,0.41564330247496695,0.9977324263038548,0.5868231528407575,0.4176691729323308,0.007062600321027288,2200,3093,22,5
high_debt_burden,app,"Logistic (app, calibrated)",0.08,0.4158790170132325,0.9977324263038548,0.5870580386924615,0.4182330827067669,0.008025682182985553,2200,3090,25,5
high_debt_burden,app,"Logistic (app, calibrated)",0.09,0.41655616594051903,0.9972789115646259,0.5876536611437734,0.4199248120300752,0.011235955056179775,2199,3080,35,6
high_debt_burden,app,"Logistic (app, calibrated)",0.1,0.4179813723626687,0.9972789115646259,0.5890704527189928,0.42330827067669174,0.017014446227929372,2199,3062,53,6
high_debt_burden,app,"Logistic (app, calibrated)",0.11,0.4181091877496671,0.9968253968253968,0.5891181988742964,0.4236842105263158,0.017977528089887642,2198,3059,56,7
high_debt_burden,app,"Logistic (app, calibrated)",0.12,0.42005368098159507,0.9936507936507937,0.5904864573507613,0.4287593984962406,0.028892455858747994,2191,3025,90,14
high_debt_burden,app,"Logistic (app, calibrated)",0.13,0.42137758055180397,0.9904761904761905,0.591229020032485,0.4323308270676692,0.03723916532905297,2184,2999,116,21
high_debt_burden,app,"Logistic (app, calibrated)",0.14,0.42552775605942145,0.9873015873015873,0.5947274962436826,0.4422932330827068,0.0565008025682183,2177,2939,176,28
high_debt_burden,app,"Logistic (app, calibrated)",0.15,0.4278360720649376,0.9800453514739229,0.5956449834619625,0.4484962406015038,0.07223113964686999,2161,2890,225,44
